ShellLength;Temperature;G
90;27,1;0,036272169
100;27,1;0,032974699
110;27,1;0,029677229
120;27,1;0,026379759
130;27,1;0,023082289
140;27,1;0,019784819
150;27,1;0,01648735
160;27,1;0,01318988
170;27,1;0,00989241
180;27,1;0,00659494
190;27,1;0,00329747
200;27,1;0
0;27,2;0,066444473
10;27,2;0,063122249
20;27,2;0,059800026
30;27,2;0,056477802
40;27,2;0,053155579
50;27,2;0,049833355
60;27,2;0,046511131
70;27,2;0,043188908
80;27,2;0,039866684
90;27,2;0,03654446
100;27,2;0,033222237
110;27,2;0,029900013
120;27,2;0,026577789
130;27,2;0,023255566
140;27,2;0,019933342
150;27,2;0,016611118
160;27,2;0,013288895
170;27,2;0,009966671
180;27,2;0,006644447
190;27,2;0,003322224
200;27,2;0
0;27,3;0,06692336
10;27,3;0,063577192
20;27,3;0,060231024
30;27,3;0,056884856
40;27,3;0,053538688
50;27,3;0,05019252
60;27,3;0,046846352
70;27,3;0,043500184
80;27,3;0,040154016
90;27,3;0,036807848
100;27,3;0,03346168
110;27,3;0,030115512
120;27,3;0,026769344
130;27,3;0,023423176
140;27,3;0,020077008
150;27,3;0,01673084
160;27,3;0,013384672
170;27,3;0,010038504
180;27,3;0,006692336
190;27,3;0,003346168
200;27,3;0
0;27,4;0,067384959
10;27,4;0,064015711
20;27,4;0,060646463
30;27,4;0,057277215
40;27,4;0,053907967
50;27,4;0,050538719
60;27,4;0,047169471
70;27,4;0,043800223
80;27,4;0,040430975
90;27,4;0,037061727
100;27,4;0,033692479
110;27,4;0,030323232
120;27,4;0,026953984
130;27,4;0,023584736
140;27,4;0,020215488
150;27,4;0,01684624
160;27,4;0,013476992
170;27,4;0,010107744
180;27,4;0,006738496
190;27,4;0,003369248
200;27,4;0
0;27,5;0,067828123
10;27,5;0,064436717
20;27,5;0,061045311
30;27,5;0,057653904
40;27,5;0,054262498
50;27,5;0,050871092
60;27,5;0,047479686
70;27,5;0,04408828
80;27,5;0,040696874
90;27,5;0,037305468
100;27,5;0,033914061
110;27,5;0,030522655
120;27,5;0,027131249
130;27,5;0,023739843
140;27,5;0,020348437
150;27,5;0,016957031
160;27,5;0,013565625
170;27,5;0,010174218
180;27,5;0,006782812
190;27,5;0,003391406
200;27,5;0
0;27,6;0,068251661
10;27,6;0,064839078
20;27,6;0,061426495
30;27,6;0,058013912
40;27,6;0,054601329
50;27,6;0,051188746
60;27,6;0,047776163
70;27,6;0,04436358
80;27,6;0,040950997
90;27,6;0,037538413
100;27,6;0,03412583
110;27,6;0,030713247
120;27,6;0,027300664
130;27,6;0,023888081
140;27,6;0,020475498
150;27,6;0,017062915
160;27,6;0,013650332
170;27,6;0,010237749
180;27,6;0,006825166
190;27,6;0,003412583
200;27,6;0
0;27,7;0,068654334
10;27,7;0,065221617
20;27,7;0,061788901
